system,scenario,procedure,n,metric,estimate,mcse,B,status
ising,S3,paired_t,80,alt_coverage,0.9455,0.005076,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,80,null_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,80,typeI,0.0515,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,80,alt_coverage,0.9585,0.00446,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,80,null_coverage,0.9485,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,10,typeI,0.1245,0.007382,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,10,alt_coverage,0.88,0.007266,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,10,null_coverage,0.8755,0.007382,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,10,typeI,0.1235,0.007357,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,10,alt_coverage,0.8835,0.007174,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,10,null_coverage,0.8765,0.007357,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,20,typeI,0.094,0.006525,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,20,alt_coverage,0.907,0.006494,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,20,null_coverage,0.906,0.006525,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,20,typeI,0.0835,0.006186,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,20,alt_coverage,0.92,0.006066,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,20,null_coverage,0.9165,0.006186,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,40,typeI,0.0735,0.005835,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,40,alt_coverage,0.9425,0.005205,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,40,null_coverage,0.9265,0.005835,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,40,typeI,0.064,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,40,alt_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,40,null_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,80,typeI,0.052,0.004965,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
